name,product_code,brand,category,subcategory,family,reviews,rating,url_image,internet_price,normal_price,seller,url_product,price_diff_%
ISDIN FotoUltra Age Repair COLOR SPF50 50ML - Bloqueador solar facial con color y antiedad,18514777,ISDIN,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,138,4.7826,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/18514777_1/w=800,h=800,fit=pad",109.9,139.9,falabella,https://www.falabella.com.pe/falabella-pe/product/18514777/ISDIN-FotoUltra-Age-Repair-COLOR-SPF50-50ML-Bloqueador-solar-facial-con-color-y-antiedad/18514777,21.44388849177984
Protector Solar Anthelios UVMune 400 Oil Control Toque Seco FPS 50+ 50ml,16434665,LA ROCHE POSAY,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,249,4.7108,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/16434665_01/w=800,h=800,fit=pad",119.9,119.9,falabella,https://www.falabella.com.pe/falabella-pe/product/16434665/Protector-Solar-Anthelios-UVMune-400-Oil-Control-Toque-Seco-FPS-50+-50ml/16434665,0.0
ISDIN Fotoprotector Hydrooil SPF50 200ML - Bloqueador solar corporal bifásico,17053706,ISDIN,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del cuerpo,25,4.92,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/17053706_1/w=800,h=800,fit=pad",91.9,114.9,falabella,https://www.falabella.com.pe/falabella-pe/product/17053706/ISDIN-Fotoprotector-Hydrooil-SPF50-200ML-Bloqueador-solar-corporal-bifasico/17053706,20.01740644038294
Fotop Isdin MineSunBrush SPF50+ 2gr,18792193,ISDIN,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,102,4.5098,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/18792193_1/w=800,h=800,fit=pad",79.9,99.9,falabella,https://www.falabella.com.pe/falabella-pe/product/18792193/Fotop-Isdin-MineSunBrush-SPF50+-2gr/18792193,20.02002002002002
Protector Solar Anti-arrugas Anthelios Age Correct con Color FPS 50 50ml,18960894,LA ROCHE POSAY,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,81,4.7531,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/18960894_1/w=800,h=800,fit=pad",139.9,139.9,falabella,https://www.falabella.com.pe/falabella-pe/product/18960894/Protector-Solar-Anti-arrugas-Anthelios-Age-Correct-con-Color-FPS-50-50ml/18960894,0.0
Juguete Set Balde Playa Sapo,883231579,HONG YUAN SHENG,Jardín y terraza,"Piscinas, spa e inflables",Inflables y juegos para piscina,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883231579_1/w=800,h=800,fit=pad",26.97,89.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883231579/Juguete-Set-Balde-Playa-Sapo/883231579,70.0
Sun Bum Lip Balm SPF 30 Banana,18727573,SUN BUM,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,1,4.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/18727573_1/w=800,h=800,fit=pad",9.9,19.9,falabella,https://www.falabella.com.pe/falabella-pe/product/18727573/Sun-Bum-Lip-Balm-SPF-30-Banana/18727573,50.25125628140703
Piscina Estructural Bestway 300x201x66 Cm,882520510,BESTWAY,Jardín y terraza,"Piscinas, spa e inflables",Piscinas Estructurales,234,4.6154,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/882520510_2/w=800,h=800,fit=pad",279.95,559.9,falabella,https://www.falabella.com.pe/falabella-pe/product/882520510/Piscina-Estructural-Bestway-300x201x66-Cm/882520510,50.0
Piscina Pro Oval 6.10x3.66m,882131765,BESTWAY,Jardín y terraza,"Piscinas, spa e inflables",Piscinas Estructurales,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/882131765_2/w=800,h=800,fit=pad",2499.0,5199.0,falabella,https://www.falabella.com.pe/falabella-pe/product/882131765/Piscina-Pro-Oval-6.10x3.66m/882131765,51.933064050778995
Jarra Acrílico Lisboa,882514852,BASEMENT HOME,Decohogar,Menaje,Menaje Comedor,1,4.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/882514852_1/w=800,h=800,fit=pad",29.89,59.9,falabella,https://www.falabella.com.pe/falabella-pe/product/882514852/Jarra-Acrilico-Lisboa/882514852,50.100166944908175
Piscina Pro C/vista 5.49x2.74m,882131753,BESTWAY,Jardín y terraza,"Piscinas, spa e inflables",Piscinas Estructurales,4,5.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/882131753_3/w=800,h=800,fit=pad",2299.0,4799.0,falabella,https://www.falabella.com.pe/falabella-pe/product/882131753/Piscina-Pro-C-vista-5.49x2.74m/882131753,52.09418628881017
Piscina Power Steel 732x366x132cm,883236094,BESTWAY,Jardín y terraza,"Piscinas, spa e inflables",Piscinas Estructurales,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883236094_01/w=800,h=800,fit=pad",3239.5,6479.0,falabella,https://www.falabella.com.pe/falabella-pe/product/883236094/Piscina-Power-Steel-732x366x132cm/883236094,50.0
Hielera Kennedy Basic Mica,883157773,MICA,Decohogar,Menaje,Menaje Comedor,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883157773_1/w=800,h=800,fit=pad",49.89,99.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883157773/Hielera-Kennedy-Basic-Mica/883157773,50.06006006006006
Uriage Bariésun Fluido Mat SPF50+ 50ml - Bloqueador solar facial para pieles mixtas a grasas,19108647,URIAGE,"Belleza, higiene y salud",Cuidado de la piel,Cuidado del rostro,4,4.25,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/19108647_1/w=800,h=800,fit=pad",82.4,109.9,falabella,https://www.falabella.com.pe/falabella-pe/product/19108647/Uriage-Bariesun-Fluido-Mat-SPF50+-50ml-Bloqueador-solar-facial-para-pieles-mixtas-a-grasas/19108647,25.022747952684256
Sombrero Basement Multicolor Para Mujer,883211861,BASEMENT,Moda y accesorios,Mujer,Accesorios,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883211861_1/w=800,h=800,fit=pad",39.89,59.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883211860/Sombrero-Basement-Multicolor-Para-Mujer/883211861,33.40567612687813
Piscina Power Steel 732x366x132cm,883236094,BESTWAY,Jardín y terraza,"Piscinas, spa e inflables",Piscinas Estructurales,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883236094_01/w=800,h=800,fit=pad",3239.5,6479.0,falabella,https://www.falabella.com.pe/falabella-pe/product/883236094/Piscina-Power-Steel-732x366x132cm/883236094,50.0
Plato Limon Basement Home,882865828,BASEMENT HOME,Decohogar,Menaje,Menaje Comedor,3,3.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/882865828_1/w=800,h=800,fit=pad",29.89,59.9,falabella,https://www.falabella.com.pe/falabella-pe/product/882865828/Plato-Limon-Basement-Home/882865828,50.100166944908175
Plato Pez Hamptons Melamine 24cm Basement Home,883157808,BASEMENT HOME,Decohogar,Menaje,Menaje Comedor,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883157808_1/w=800,h=800,fit=pad",9.9,19.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883157808/Plato-Pez-Hamptons-Melamine-24cm-Basement-Home/883157808,50.25125628140703
Fuente Redonda Lucia Melamine 34cm Mica,883157825,MICA,Decohogar,Menaje,Menaje Comedor,0,0.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883157825_1/w=800,h=800,fit=pad",21.89,44.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883157825/Fuente-Redonda-Lucia-Melamine-34cm-Mica/883157825,51.24721603563474
Hawaianas Mujer Sybilla Adedy2 ,883219932,SYBILLA,Calzado y zapatillas,Zapatos,Zapatos Mujer,13,4.3846,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883219932_1/w=800,h=800,fit=pad",19.89,49.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883219924/Hawaianas-Mujer-Sybilla-Adedy2-/883219932,60.14028056112224
Bikini Mujer Sybilla,883173488,SYBILLA,Moda y accesorios,Mujer,Moda Mujer,2,3.0,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/falabellaPE/883173488_1/w=800,h=800,fit=pad",69.9,99.9,falabella,https://www.falabella.com.pe/falabella-pe/product/883173486/Bikini-Mujer-Sybilla/883173488,30.03003003003003
