url,rating,reviews
https://www.falabella.com.pe/falabella-pe/product/883215205/Lentes-De-Sol-Sybilla-Negros-Clasicos/883215206,5.0,8
https://www.falabella.com.pe/falabella-pe/product/16416898/ISDIN-Fotoprotector-Hydrolotion-SPF50-200ML-Bloqueador-solar-corporal/16416898,4.7812,32
https://www.falabella.com.pe/falabella-pe/product/883211887/Bolso-Mujer-Basement/883211888,0.0,0
https://www.falabella.com.pe/falabella-pe/product/883246994/Flotador-Con-Techo-Friendly-Fox/883246994,0.0,0
https://www.falabella.com.pe/falabella-pe/product/16416900/Fotop-Pediatrics-Transparent-Spray-Wet-Skin/16416900,4.8571,14
https://www.falabella.com.pe/falabella-pe/product/883236080/Piscina-Pro-Splash-259x170/883236080,5.0,1
https://www.falabella.com.pe/falabella-pe/product/20547032/Calzon-De-Bikini-Mujer-Womens-Secret/20547035,0.0,0
https://www.falabella.com.pe/falabella-pe/product/19982988/Hawaiian-Tropic-Aceite-Bronceador-Argan-Spf6-170g/19982988,5.0,16
https://www.falabella.com.pe/falabella-pe/product/883225270/Traje-De-Bano-Bebe-Nina-Yamp/883225272,4.0,1
https://www.falabella.com.pe/falabella-pe/product/883174359/Bikini-Mujer-Doo-Australia/883174360,0.0,0
https://www.falabella.com.pe/falabella-pe/product/883157548/Bowl-Marino-Hamptons-Melamine-15cm-Basement-Home/883157548,0.0,0
https://www.falabella.com.pe/falabella-pe/product/16202831/ISDIN-Fotoprotector-Transparent-Spray-WET-SKIN-SPF50-250ML-Bloqueador-solar-corporal/16202831,4.6389,36
https://www.falabella.com.pe/falabella-pe/product/883208811/Bikini-Mujer-Sybilla/883208815,4.0,1
https://www.falabella.com.pe/falabella-pe/product/883215244/Lentes-De-Sol-Doo-Australia/883215247,5.0,1
https://www.falabella.com.pe/falabella-pe/product/883174124/Calzon-De-Bikini-Mujer-Basement/883174126,4.7,10
https://www.falabella.com.pe/falabella-pe/product/883217147/Pareo-Dama-Pas100v25s-Sybilla/883217150,4.9091,11
https://www.falabella.com.pe/falabella-pe/product/883223324/Traje-De-Bano-Nino-Doo-Australia/883223325,5.0,1
https://www.falabella.com.pe/falabella-pe/product/883208018/Bikini-Mujer-Doo-Australia/883208021,0.0,0
https://www.falabella.com.pe/falabella-pe/product/18960894/Protector-Solar-Anti-arrugas-Anthelios-Age-Correct-con-Color-FPS-50-50ml/18960894,4.7531,81
https://www.falabella.com.pe/falabella-pe/product/20547042/Calzon-De-Bikini-Mujer-Womens-Secret/20547043,0.0,0
https://www.falabella.com.pe/falabella-pe/product/20509312/Toalla-de-Playa-Infantil-Mickey-100-Algodon-70x140cm/20509312,5.0,1
https://www.falabella.com.pe/falabella-pe/product/883211932/Bolso-Mujer-Basement/883211933,0.0,0
